"id","publishDate","category","size","price","region","court","bailiff","period","ends","href","address","pricePerMeter"
"17373","18 февруари 2021 г. в 12:18 часа","Земеделски имот","26502.00","15188.68","с. Николаево","гр. Перник","Елена Григорова Добренова","от 17.05.2021 до 17.06.2021","18.06.2021 09:00","https://sales.bcpea.org/properties/17373","11 броя имоти","0.5731144819258924"
"15498","27 януари 2021 г. в 10:18 часа","Парцел с къща","1065.00","10736.00","с. Рударци","гр. Перник","Елена Григорова Добренова","от 20.04.2021 до 20.05.2021","21.05.2021 09:00","https://sales.bcpea.org/properties/15498","1/6 идеална част от 1065 кв.м.","10.08075117370892"
"16828","11 февруари 2021 г. в 10:28 часа","Парцел с къща","499.00","19600.00","гр. Бяла Слатина","гр. Враца","Цветозар Найденов Найденов","от 17.04.2021 до 17.05.2021","18.05.2021 11:00","https://sales.bcpea.org/properties/16828","Цветозар Найденов Найденов","39.278557114228455"
"16735","10 февруари 2021 г. в 12:22 часа","Двустаен апартамент","59.56","16209.36","гр. Перник","гр. Перник","Елена Григорова Добренова","от 13.04.2021 до 13.05.2021","14.05.2021 09:00","https://sales.bcpea.org/properties/16735","гр.Перник ул.'ТЕЦ Република'бл.2 ","272.1517797179315"
"17337","18 февруари 2021 г. в 09:25 часа","Парцел","925.00","464.00","с. Батишница","гр. Русе","Венцислав Йорданов Маринов","от 12.04.2021 до 12.05.2021","13.05.2021 10:00","https://sales.bcpea.org/properties/17337","ИД 395/2016г. - с. Батишница общ. Две могили обл. Русе ул. Георги Димитров № 60","0.5016216216216216"
"16781","10 февруари 2021 г. в 15:32 часа","Двустаен апартамент","60.84","19000.00","гр. Враца","гр. Враца","Цветозар Найденов Найденов","от 10.04.2021 до 10.05.2021","11.05.2021 09:00","https://sales.bcpea.org/properties/16781","Цветозар Найденов Найденов","312.2945430637738"
"16773","10 февруари 2021 г. в 15:02 часа","Двустаен апартамент","53.63","31120.00","гр. Враца","гр. Враца","Цветозар Найденов Найденов","от 10.04.2021 до 10.05.2021","11.05.2021 14:00","https://sales.bcpea.org/properties/16773","Цветозар Найденов Найденов","580.27223568898"
"17619","22 февруари 2021 г. в 08:30 часа","Парцел","2068.00","59580.00","гр. Каварна","гр. Добрич","Лучия Тасева Тасева","от 25.03.2021 до 26.04.2021","27.04.2021 11:00","https://sales.bcpea.org/properties/17619","Лучия Тасева Тасева","28.810444874274662"
"17328","17 февруари 2021 г. в 16:59 часа","Къща","54.00","10544.00","гр. Аксаково","гр. Варна","Людмил Станев Станев","от 26.03.2021 до 26.04.2021","27.04.2021 14:00","https://sales.bcpea.org/properties/17328","гр. Аксаково ул. Орлово гнездо 20","195.25925925925927"
"16891","11 февруари 2021 г. в 15:20 часа","Жилищна сграда","75.00","13520.00","гр. Левски","гр. Плевен","Цветозар Найденов Найденов","от 26.03.2021 до 26.04.2021","27.04.2021 10:00","https://sales.bcpea.org/properties/16891","Цветозар Найденов Найденов","180.26666666666668"
